Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Avg task start time,Avg task operations (GFLOPs)
5,144,0.5222,13.8238,1.1807,28,0.5142,1.2323,0.177,2.0605
5,146,0.4837,12.2622,0.4521,26,0.1964,1.2729,0.0528,2.0512
5,146,0.6819,17.8708,5.6192,31,2.1783,1.2844,0.1475,1.5127
5,150,0.6154,28.268,10.3335,34,9.2275,1.2844,0.1619,2.0512
5,148,0.5299,14.9055,1.0824,26,0.1964,1.2604,0.0831,1.5127
5,146,0.4867,11.118,0.6281,25,0.1214,1.2104,0.1333,3.461
5,158,0.3151,56.9642,0.5125,25,0.1214,1.2302,0.1116,5.3065
5,142,0.408,10.5977,4.1322,31,2.1783,1.2609,0.1263,1.6248
5,137,0.5413,4.8271,1.9583,32,3.5246,1.3,0.1345,0.4114
5,152,1.1164,41.1152,12.5857,33,5.7029,1.2594,0.1529,4.0238
5,133,0.2847,2.307,1.0592,29,0.832,1.2771,0.1149,0.2843
5,143,0.3149,26.6627,22.2032,35,14.9304,1.2427,0.0712,3.3189
5,154,0.4418,35.6463,14.5468,35,14.9304,1.2844,0.1248,2.614
5,149,1.3925,15.8494,1.1133,25,0.1214,1.201,0.1066,2.5111
5,153,0.424,26.7393,8.9351,33,5.7029,1.2698,0.1361,2.5504
5,148,0.5718,18.1005,4.6007,31,2.1783,1.2573,0.177,2.8982
5,156,0.2506,47.6678,1.5165,27,0.3178,1.2302,0.0756,5.0373
5,151,0.4801,27.92,15.6592,34,9.2275,1.325,0.1209,3.8181
5,156,1.2728,29.7396,5.5979,30,1.3463,1.2687,0.2629,2.8832
5,152,0.368,35.2181,10.0616,32,3.5246,1.2688,0.1366,4.523
5,132,0.2341,2.3398,3.4052,34,9.2275,1.2812,0.0961,0.3085
5,142,0.327,7.5588,0.4888,25,0.1214,1.2125,0.0714,3.2796
5,148,0.2714,25.4313,5.4684,31,2.1783,1.201,0.0866,2.3597
5,153,0.3013,25.3316,1.5196,28,0.5142,1.2302,0.0895,2.384
5,147,0.396,16.9349,6.5783,33,5.7029,1.3135,0.1107,3.5246
5,144,0.2994,11.8048,0.3421,25,0.1214,1.2594,0.1131,1.894
5,152,0.5799,21.5416,0.3595,26,0.1964,1.201,0.1653,3.2796
5,139,0.3725,9.4673,5.5074,32,3.5246,1.2552,0.093,2.0269
5,149,0.5324,21.6204,7.192,32,3.5246,1.2708,0.1094,2.6533
5,146,0.4473,12.4952,1.7983,28,0.5142,1.2583,0.136,1.3463
5,150,0.7013,21.4352,3.4851,30,1.3463,1.2563,0.1148,3.9995
5,147,0.6769,12.2449,1.232,27,0.3178,1.2719,0.1178,1.6791
5,157,0.364,56.7446,0.3492,25,0.1214,1.201,0.1219,5.1251
5,155,0.5833,55.3542,4.41,30,1.3463,1.2375,0.1079,6.0993
5,154,0.2874,26.4747,1.0511,26,0.1964,1.201,0.0999,4.1902
5,150,0.4228,28.7352,4.782,30,1.3463,1.2604,0.1368,2.139
5,150,0.2999,18.4853,0.3365,25,0.1214,1.2344,0.0845,2.8832
5,149,0.3976,27.7975,12.4646,35,14.9304,1.2552,0.0801,2.0362
5,156,0.7078,38.1835,3.8816,29,0.832,1.201,0.1599,3.0889
5,139,0.7205,6.0546,1.9495,29,0.832,1.251,0.1919,0.9984
5,158,0.5465,50.3217,8.0277,29,0.832,1.2396,0.0878,4.8316
5,148,0.4233,26.7541,1.1137,27,0.3178,1.2771,0.1091,3.8817
5,161,0.7253,84.8404,24.443,34,9.2275,1.2458,0.187,7.1763
5,151,0.2187,23.2661,8.8649,33,5.7029,1.3,0.0996,2.0512
5,146,0.3033,16.9681,5.3133,31,2.1783,1.2229,0.1185,2.614
5,149,0.457,17.7024,0.3188,25,0.1214,1.3,0.1668,2.8439
5,139,0.2912,8.0411,0.4502,26,0.1964,1.2656,0.0994,1.2284
5,147,0.8767,17.5165,1.9647,29,0.832,1.201,0.1458,1.2827
5,156,0.8077,50.5492,5.7431,31,2.1783,1.2302,0.1027,5.83
5,153,0.8586,37.9101,21.3601,35,14.9304,1.2698,0.1282,3.9602
5,153,0.3588,26.2063,3.2216,30,1.3463,1.2698,0.0909,2.5504
5,155,1.0516,38.8637,12.9907,33,5.7029,1.2948,0.1411,4.4595
5,152,0.7613,39.2002,13.6289,33,5.7029,1.3052,0.1809,3.6124
