Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
8,239,1.0437,71.5778,5.4418,30,1.3463,1.4421,"[0.0003, 0.0446, 0.1412, 0.2023, 0.4719, 0.5524, 0.6094, 0.6705]","[1.3463, 14.9304, 14.9304, 0.1214, 0.3178, 0.1964, 0.5142, 5.7029]"
8,240,1.0738,64.8899,6.021,31,2.1783,1.4261,"[0.0002, 0.0156, 0.0619, 0.1559, 0.291, 0.3666, 0.5751, 0.901]","[14.9304, 14.9304, 0.832, 0.1214, 3.5246, 0.3178, 0.3178, 1.3463]"
8,237,0.8156,52.5833,15.9378,34,9.2275,1.435,"[0.0003, 0.0481, 0.1142, 0.1803, 0.3075, 0.3288, 0.4755, 0.7144]","[0.832, 3.5246, 1.3463, 5.7029, 0.3178, 5.7029, 0.1964, 0.3178]"
8,234,0.8933,51.3563,9.3262,32,3.5246,1.3195,"[0.0003, 0.0456, 0.0911, 0.2733, 0.3815, 0.4373, 0.7204, 0.7512]","[0.1964, 3.5246, 9.2275, 0.1964, 1.3463, 9.2275, 0.1964, 0.1964]"
8,244,1.1837,86.5978,10.5811,31,2.1783,1.408,"[0.0003, 0.0451, 0.0909, 0.1671, 0.2282, 0.7366, 1.0172, 1.0726]","[0.832, 14.9304, 5.7029, 9.2275, 0.1214, 3.5246, 2.1783, 0.1214]"
8,238,1.1295,43.2416,0.5542,25,0.1214,1.4568,"[0.0003, 0.031, 0.1274, 0.1834, 0.2292, 0.5376, 0.8654, 0.9573]","[1.3463, 5.7029, 0.5142, 0.1964, 2.1783, 1.3463, 0.1964, 9.2275]"
8,228,0.783,17.275,0.3662,25,0.1214,1.3722,"[0.0003, 0.0293, 0.1005, 0.1667, 0.2431, 0.3137, 0.5689, 0.6263]","[0.3178, 2.1783, 9.2275, 0.5142, 0.1964, 0.3178, 0.1214, 1.3463]"
8,238,0.5234,65.6151,17.1417,33,5.7029,1.4378,"[0.0003, 0.0236, 0.0694, 0.1254, 0.2323, 0.3041, 0.4014, 0.4626]","[0.1964, 5.7029, 0.1964, 0.832, 0.1214, 2.1783, 14.9304, 5.7029]"
8,243,0.8866,74.4148,20.9901,34,9.2275,1.4228,"[0.0003, 0.0228, 0.1196, 0.1857, 0.3028, 0.3843, 0.5162, 0.7751]","[3.5246, 0.5142, 3.5246, 1.3463, 9.2275, 0.1964, 0.832, 3.5246]"
8,236,0.5157,41.1368,5.5386,30,1.3463,1.4295,"[0.0003, 0.0322, 0.0887, 0.2004, 0.2311, 0.2974, 0.3635, 0.4144]","[0.1214, 2.1783, 0.832, 1.3463, 14.9304, 0.1964, 3.5246, 0.5142]"
8,238,0.7664,38.1447,0.4021,25,0.1214,1.3351,"[0.0002, 0.0352, 0.1115, 0.1775, 0.2184, 0.3454, 0.5232, 0.6499]","[2.1783, 1.3463, 0.3178, 14.9304, 0.1964, 0.3178, 5.7029, 0.832]"
8,253,1.0116,141.1254,2.2643,27,0.3178,1.3927,"[0.0003, 0.0345, 0.1141, 0.2339, 0.2805, 0.4197, 0.5648, 0.697]","[0.1964, 9.2275, 14.9304, 0.5142, 14.9304, 1.3463, 9.2275, 2.1783]"
8,241,0.5977,76.0826,1.8395,27,0.3178,1.3637,"[0.0002, 0.0172, 0.1086, 0.1442, 0.1647, 0.3025, 0.3282, 0.4708]","[5.7029, 9.2275, 0.1214, 1.3463, 0.5142, 9.2275, 3.5246, 0.1214]"
8,246,1.1087,76.3857,17.665,33,5.7029,1.3588,"[0.0002, 0.0435, 0.0994, 0.1323, 0.3408, 0.4372, 0.6961, 0.8281]","[0.832, 5.7029, 9.2275, 2.1783, 0.1214, 3.5246, 9.2275, 0.5142]"
8,235,0.7374,25.4674,1.4359,26,0.1964,1.4678,"[0.0003, 0.0383, 0.0994, 0.1806, 0.2823, 0.5109, 0.5285, 0.6713]","[0.832, 2.1783, 0.3178, 0.832, 0.832, 0.832, 0.1964, 14.9304]"
