round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	513.1037	15.3222	513.1037	460.1588	14.2166	460.1588	368.8628	13.2579	368.8628
2	164.2928	9.6692	164.2928	245.1675	11.1693	245.1675	191.1974	10.2855	191.1974
3	144.1818	9.1158	144.1818	174.5950	9.9035	174.5950	159.3693	9.5430	159.3693
4	134.1799	8.7151	134.1799	175.8855	9.5627	175.8855	149.6863	9.1398	149.6863
5	124.3690	8.3330	124.3690	154.3416	9.2015	154.3416	137.0884	8.7056	137.0884
6	116.0160	7.8700	116.0160	144.8260	8.6000	144.8260	128.5961	8.2688	128.5961
7	100.1681	7.0871	100.1681	125.3359	7.9945	125.3359	111.7112	7.4515	111.7112
8	87.0536	5.9552	87.0536	108.6738	6.7755	108.6738	96.7351	6.2698	96.7351
9	80.7855	5.3450	80.7855	110.8964	6.1863	110.8964	93.3016	5.8093	93.3016
10	78.0535	5.2849	78.0535	95.8824	6.0886	95.8824	88.0533	5.6620	88.0533
11	77.5921	5.2588	77.5921	105.6027	6.2101	105.6027	90.1047	5.7143	90.1047
12	76.9146	5.2341	76.9146	95.2030	5.9721	95.2030	87.6654	5.6191	87.6654
13	75.4933	5.1778	75.4933	92.2744	5.8414	92.2744	84.5921	5.5093	84.5921
14	75.5175	5.1469	75.5175	100.8039	5.9968	100.8039	85.8565	5.5029	85.8565
15	73.9447	5.1044	73.9447	95.2626	5.7647	95.2626	86.3506	5.5247	86.3506
16	73.4742	5.1014	73.4742	101.0881	6.1144	101.0881	85.5988	5.5677	85.5988
17	72.0633	5.0242	72.0633	91.6824	5.7501	91.6824	83.1598	5.4493	83.1598
18	72.8668	5.1095	72.8668	93.6051	5.8300	93.6051	83.5743	5.4944	83.5743
19	70.9591	4.9743	70.9591	95.3597	6.0319	95.3597	83.1712	5.4481	83.1712
20	71.8705	5.0460	71.8705	95.3858	5.9944	95.3858	83.5064	5.4714	83.5064
21	70.6638	4.9971	70.6638	102.3827	5.9088	102.3827	84.2209	5.4499	84.2209
