Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-9,8,27,0.880197,1.562301,1.52411759375,317810
1-7,8,26,0.443088,1.452871,1.516234666666667,196417
1-4,8,30,0.062013,8.776738,1.3597731562500004,1346268
1-5,8,33,0.123154,20.297727,1.450942729166667,5702886
1-8,8,34,0.487377,20.467425,1.3666457812500001,9227464
1-3,8,33,0.042651,20.733924,1.4444169583333333,5702886
1-1,8,35,0.000291,33.107581,1.3667721770833334,14930351
1-2,8,34,0.017069,30.689869,1.3619892916666665,9227464
1-6,8,34,0.25532,31.534313,1.3924243020833336,9227464
2-1,8,29,0.000315,2.711936,1.3563825,832039
2-8,8,33,1.21264,6.255826,1.3518948437499998,5702886
2-9,8,25,1.461672,0.840755,1.3767561354166666,121392
2-3,8,25,0.114221,0.391133,1.5084249583333331,121392
2-7,8,25,0.847544,1.275499,1.3554312291666668,121392
2-4,8,29,0.24149,2.977195,1.3893245520833337,832039
2-6,8,30,0.531229,4.454549,1.3394208541666668,1346268
2-5,8,31,0.424785,5.751919,1.347061625,2178308
2-2,8,31,0.022683,6.262565,1.3666561458333333,2178308
3-1,8,26,0.000317,0.194331,1.3595455416666666,196417
3-4,8,31,0.138708,8.800289,1.4155390208333336,2178308
3-9,8,31,0.986344,7.706912,1.4118447812500001,2178308
3-5,8,29,0.454665,2.835179,1.4779660104166668,832039
3-8,8,29,0.792622,5.75286,1.3429039270833334,832039
3-3,8,30,0.077636,6.732509,1.370143979166667,1346268
3-2,8,33,0.02164,16.261331,1.4719757395833333,5702886
3-6,8,35,0.536923,22.633994,1.59002446875,14930351
3-7,8,34,0.583734,21.099409,1.54802675,9227464
4-4,8,25,0.117381,0.225911,1.4719687604166662,121392
4-1,8,30,0.000355,5.829269,1.452626854166667,1346268
4-8,8,26,0.609816,0.711936,1.4014507395833333,196417
4-3,8,28,0.046121,1.728077,1.4238956041666664,514228
4-6,8,32,0.379226,12.997542,1.4894283229166667,3524577
4-7,8,32,0.420257,13.930308,1.46161040625,3524577
4-9,8,32,0.653586,14.392292,1.5370260312499997,3524577
4-5,8,35,0.1886,22.587886,1.5456015625,14930351
4-2,8,35,0.028649,23.431233,1.5734436979166666,14930351
5-8,8,31,0.91116,7.856361,1.3761911249999994,2178308
5-5,8,27,0.311789,3.046501,1.476728083333334,317810
5-1,8,32,0.000335,11.742119,1.4926183645833333,3524577
5-4,8,27,0.255802,0.944885,1.4016534479166665,317810
5-2,8,31,0.032111,11.565113,1.4551422187500003,2178308
5-7,8,31,0.591537,12.316953,1.3896795,2178308
5-3,8,35,0.108415,23.45733,1.5511018020833336,14930351
5-9,8,33,1.017163,19.161242,1.3477091458333335,5702886
5-6,8,34,0.469673,21.341515,1.3758013854166669,9227464
6-5,8,25,0.493213,0.305308,1.326100135416667,121392
6-8,8,28,0.74035,2.642548,1.3967575208333336,514228
6-4,8,29,0.160909,2.982942,1.3624901979166668,832039
6-1,8,26,0.000313,0.058322,1.3725026979166668,196417
6-3,8,27,0.09457,0.403969,1.3663153854166668,317810
6-9,8,31,0.781209,6.97636,1.4811525520833335,2178308
6-7,8,31,0.66383,7.201487,1.4875268124999996,2178308
6-6,8,34,0.54544,15.2024,1.5214626875000004,9227464
6-2,8,34,0.050011,15.126362,1.3673981354166669,9227464
7-2,8,27,0.024139,0.824923,1.4403682291666662,317810
7-1,8,25,0.000318,0.060364,1.3739721250000003,121392
7-4,8,27,0.142845,0.754933,1.4977881562499995,317810
7-7,8,25,0.308156,0.054536,1.4043746145833331,121392
7-3,8,25,0.060753,0.06633,1.3932964999999995,121392
7-6,8,30,0.261316,1.534193,1.458681197916667,1346268
7-9,8,34,0.512591,7.439973,1.4690999479166673,9227464
7-5,8,28,0.173909,1.610529,1.460646270833333,514228
7-8,8,32,0.409394,6.105501,1.4773842395833328,3524577
8-3,8,29,0.110213,2.219133,1.38717109375,832039
8-9,8,29,0.904991,2.873439,1.2769212916666668,832039
8-7,8,26,0.54236,0.766474,1.3941244166666669,196417
8-4,8,27,0.176312,1.677129,1.4111698333333333,317810
8-2,8,27,0.039002,0.808908,1.376503697916667,317810
8-6,8,35,0.430615,8.593322,1.5149572708333332,14930351
8-8,8,25,0.831863,0.624271,1.4067181666666668,121392
8-5,8,29,0.223625,3.689006,1.26826490625,832039
8-1,8,32,0.000317,7.123857,1.4579674791666668,3524577
9-1,8,27,0.0003,0.321731,1.4130418645833334,317810
9-5,8,29,0.250591,2.973999,1.5126116145833337,832039
9-3,8,29,0.143586,3.2226,1.4659296249999998,832039
9-4,8,27,0.189472,2.589751,1.5104530000000003,317810
9-9,8,29,0.70262,3.357183,1.4052953333333336,832039
9-8,8,32,0.662304,14.359563,1.3664751770833334,3524577
9-7,8,35,0.485308,24.450285,1.5900118541666668,14930351
9-2,8,34,0.031795,22.355962,1.3833615937500001,9227464
9-6,8,34,0.453866,23.914068,1.5583943541666667,9227464
10-8,8,27,0.643392,0.812636,1.3596069375,317810
10-6,8,25,0.342373,0.132954,1.3067425,121392
10-4,8,28,0.147542,2.538437,1.373322572916666,514228
10-2,8,28,0.037709,2.872848,1.3516638125,514228
10-7,8,28,0.557001,3.132003,1.4182567916666668,514228
10-5,8,29,0.174444,3.700863,1.2913460624999997,832039
10-1,8,34,0.000329,9.714875,1.3969548229166666,9227464
10-9,8,31,0.807175,6.075521,1.4331353125,2178308
10-3,8,32,0.073377,8.081766,1.46173871875,3524577
11-9,8,26,1.013759,0.341667,1.3607381562500005,196417
11-5,8,27,0.205757,1.515546,1.3081215833333333,317810
11-4,8,27,0.149741,1.306764,1.4235756875000005,317810
11-7,8,25,0.645103,0.163903,1.3355935833333332,121392
11-1,8,27,0.000316,0.440375,1.4620902500000004,317810
11-3,8,31,0.109006,3.855218,1.4029883125000004,2178308
11-2,8,30,0.01758,3.62142,1.45391890625,1346268
11-6,8,34,0.603593,12.976973,1.5429183125000006,9227464
11-8,8,35,0.875553,14.557504,1.3833112812499997,14930351
12-7,8,29,0.279486,2.694632,1.4906321875000001,832039
12-2,8,27,0.037298,0.728291,1.399549052083333,317810
12-1,8,25,0.00034,0.036882,1.3973625937499998,121392
12-3,8,26,0.063199,0.770577,1.3834067291666667,196417
12-4,8,26,0.088947,0.720483,1.4021122708333333,196417
12-9,8,27,0.770813,1.608768,1.3987794270833331,317810
12-8,8,31,0.436823,4.856822,1.3570810104166666,2178308
12-6,8,34,0.243156,15.724006,1.4437790000000004,9227464
12-5,8,35,0.15061,16.656085,1.5049375833333332,14930351
13-7,8,26,0.867237,0.734138,1.419264739583333,196417
13-9,8,29,1.060326,5.719224,1.4702499375,832039
13-6,8,32,0.525495,10.02985,1.6291530833333336,3524577
13-3,8,30,0.098859,6.120757,1.4622337916666668,1346268
13-4,8,32,0.154828,12.658612,1.4696799583333333,3524577
13-8,8,32,0.922156,14.981786,1.468784979166667,3524577
13-1,8,34,0.000301,24.963738,1.5643813854166673,9227464
13-2,8,35,0.042917,30.991502,1.4650209687500007,14930351
13-5,8,35,0.368435,30.312163,1.5183562187500002,14930351
14-2,8,27,0.022213,0.459016,1.379062927083333,317810
14-1,8,28,0.000287,2.560239,1.4489206562499997,514228
14-6,8,33,0.590316,24.631543,1.4076527187499999,5702886
14-9,8,32,1.221017,14.92831,1.3784018125000002,3524577
14-7,8,32,0.672802,20.450497,1.4592061145833333,3524577
14-8,8,35,1.073742,42.122415,1.466721770833333,14930351
14-4,8,35,0.129106,44.433788,1.4480564895833332,14930351
14-3,8,34,0.062999,39.926519,1.44848809375,9227464
14-5,8,35,0.491742,43.821528,1.4237998645833332,14930351
15-8,8,29,0.97313,2.402447,1.3552539895833335,832039
15-9,8,29,1.004948,3.764186,1.34538984375,832039
15-5,8,30,0.300487,7.520208,1.3734549895833335,1346268
15-2,8,27,0.015289,0.805913,1.3874301562500002,317810
15-3,8,31,0.111935,7.138095,1.4079906041666665,2178308
15-7,8,34,0.549661,21.893367,1.3948178020833328,9227464
15-4,8,32,0.198548,15.251411,1.5182869375,3524577
15-6,8,33,0.483528,19.338512,1.42271315625,5702886
15-1,8,34,0.000282,21.779718,1.4032445520833334,9227464
16-6,8,29,0.246866,1.781876,1.4095006562500003,832039
16-2,8,32,0.044472,7.061607,1.4627775833333332,3524577
16-7,8,28,0.280375,1.93621,1.4329939479166667,514228
16-1,8,26,0.000251,0.05227,1.4176437916666664,196417
16-3,8,28,0.073162,2.229081,1.3629435,514228
16-4,8,30,0.093721,4.622557,1.4975029062499998,1346268
16-5,8,28,0.195857,2.226069,1.4041611250000003,514228
16-8,8,30,0.438269,4.943073,1.4630626770833333,1346268
16-9,8,31,0.783091,6.07374,1.4131512812500002,2178308
17-9,8,27,0.707191,1.011564,1.4689806458333334,317810
17-6,8,25,0.373311,0.216514,1.3681295520833334,121392
17-3,8,27,0.078341,1.229706,1.4121491041666665,317810
17-2,8,27,0.022422,1.079442,1.3855914062499999,317810
17-7,8,30,0.408589,5.355475,1.410372208333333,1346268
17-4,8,31,0.215674,7.877265,1.3572579791666661,2178308
17-1,8,31,0.000312,7.701255,1.310521354166667,2178308
17-5,8,35,0.281886,15.197572,1.5296181562500004,14930351
17-8,8,33,0.62085,12.723735,1.5947492708333337,5702886
18-3,8,26,0.06078,0.317716,1.5256693437499997,196417
18-1,8,29,0.000309,5.007774,1.4346064791666668,832039
18-2,8,31,0.040292,6.278063,1.5351863020833332,2178308
18-5,8,33,0.31867,12.650326,1.4090236458333336,5702886
18-6,8,31,0.49703,11.59184,1.4348747083333335,2178308
18-4,8,31,0.084667,11.700259,1.4716726458333333,2178308
18-8,8,33,0.663231,18.920438,1.37209759375,5702886
18-7,8,35,0.545188,24.716821,1.4891831354166667,14930351
18-9,8,34,0.732952,22.926911,1.4565591562500002,9227464
19-2,8,25,0.034024,0.230238,1.3548432812500002,121392
19-4,8,28,0.151064,2.241646,1.437343229166667,514228
19-6,8,26,0.447065,0.856153,1.4265075208333329,196417
19-5,8,28,0.295148,2.522601,1.4278921979166674,514228
19-1,8,32,0.000313,8.819555,1.4336736979166669,3524577
19-8,8,28,0.693566,2.398684,1.4377320104166664,514228
19-3,8,34,0.089998,10.385032,1.477189052083333,9227464
19-7,8,30,0.60963,5.422459,1.4041306145833332,1346268
19-9,8,33,0.876105,7.878101,1.4468967812499998,5702886
20-9,8,27,1.026849,1.546383,1.3730722916666667,317810
20-8,8,29,0.961808,1.789036,1.3385783020833335,832039
20-2,8,28,0.022987,1.211442,1.4065834166666664,514228
20-5,8,28,0.244603,2.491841,1.3625614687499998,514228
20-4,8,27,0.132872,0.77199,1.3763760312500006,317810
20-1,8,30,0.000285,4.30471,1.3762052916666672,1346268
20-7,8,35,0.915352,10.343335,1.4605014583333331,14930351
20-6,8,31,0.803702,6.699563,1.4542528437500002,2178308
20-3,8,32,0.08202,8.218035,1.4935289375,3524577
21-1,8,28,0.000326,1.653068,1.3968134479166663,514228
21-4,8,29,0.219882,2.325238,1.556420385416667,832039
