Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
5,225.5588,0.7858,24.3968,3.7614,26.1889,73.98,1.4541,0.2509,146.316
5,202.8978,0.7681,18.7073,2.4341,6.8019,82.2,1.5883,0.3667,101.928
5,277.5122,0.8285,31.1444,6.9389,62.6262,131.52,1.457,0.4968,147.96
5,198.3696,0.7511,24.0395,5.3169,57.8413,106.86,1.3697,0.3375,105.216
5,242.5023,0.5698,23.51,4.3269,26.1889,73.98,1.7114,0.4105,149.604
5,196.3904,0.6589,21.7616,5.4948,60.5415,123.3,1.6354,0.3987,149.604
5,253.8811,0.7569,26.1234,2.7653,16.2015,41.1,1.4895,0.3988,96.996
5,145.4879,0.7728,14.6223,4.5194,61.4555,106.86,1.5302,0.3262,83.844
5,225.9581,0.9773,24.8384,5.7371,61.4555,106.86,1.5583,0.5386,154.536
5,245.8598,0.7529,26.6622,5.9425,57.8413,106.86,1.511,0.3839,141.384
5,122.3772,0.6946,16.2564,4.2998,57.8413,106.86,1.5305,0.294,82.2
5,178.06,0.9264,22.7644,5.505,61.4555,106.86,1.4321,0.5315,147.96
5,146.8241,0.5862,16.0815,2.5741,6.8019,82.2,1.7708,0.4592,82.2
5,153.1717,0.7392,15.2926,2.5239,6.8019,82.2,1.6365,0.3889,101.928
5,281.3831,0.7642,27.5978,2.8928,11.7294,106.86,1.593,0.4176,156.18
5,152.2577,0.688,19.694,5.0279,62.6262,131.52,1.5346,0.3162,105.216
5,146.2363,0.8162,18.4626,5.2589,62.6262,131.52,1.4751,0.3835,67.404
5,150.8708,0.7708,15.8706,3.0209,11.7294,106.86,1.5646,0.4541,106.86
5,132.3506,0.8719,15.6134,2.8444,16.2015,41.1,1.6957,0.3894,116.724
5,174.5873,0.5374,22.6149,5.5842,62.6262,131.52,1.4375,0.3204,92.064
5,183.9778,0.8545,20.6024,5.1768,62.6262,131.52,1.5135,0.4618,136.452
5,200.5969,0.7947,22.3633,3.2023,16.2015,41.1,1.6125,0.2921,106.86
5,211.9151,0.7628,24.9123,5.9374,57.8413,106.86,1.551,0.3375,101.928
5,222.2287,0.8038,25.0261,3.2467,16.2015,41.1,1.4198,0.4567,90.42
5,249.8819,0.783,26.8616,3.1415,6.8019,82.2,1.6031,0.3571,111.792
5,244.4815,0.6927,24.3534,6.1774,62.6262,131.52,1.6593,0.3742,105.216
5,197.4556,0.9629,18.6829,4.6556,60.5415,123.3,1.6022,0.3159,108.504
5,210.1289,0.7592,21.8014,3.4841,11.7294,106.86,1.7033,0.2844,95.352
5,117.4497,0.7149,13.9939,4.2071,60.5415,123.3,1.3988,0.403,77.268
5,67.5912,0.6244,13.8517,4.0653,60.5415,123.3,1.5135,0.3675,80.556
5,141.0158,0.7885,14.4064,3.9886,35.3044,312.36,1.5368,0.3052,96.996
5,105.6257,0.5989,15.6508,4.2887,57.8413,106.86,1.5053,0.3712,115.08
5,147.2655,0.8646,15.017,2.8862,26.1889,73.98,1.5702,0.3732,128.232
5,156.381,0.9095,18.3585,4.9881,62.6262,131.52,1.65,0.4121,175.908
5,214.1424,0.7778,18.579,3.1662,26.1889,73.98,1.4545,0.3335,103.572
5,238.2138,0.5889,27.5598,6.4491,61.4555,106.86,1.5116,0.3382,144.672
5,218.7847,0.7905,23.171,3.2843,16.2015,41.1,1.6094,0.2986,108.504
5,262.2802,0.6279,28.3963,2.7819,11.7294,106.86,1.4379,0.4069,101.928
5,186.678,0.7006,21.7979,3.4288,16.2015,41.1,1.5484,0.3764,139.74
5,111.9312,0.6857,16.1067,2.9621,6.8019,82.2,1.6198,0.2539,96.996
5,217.614,0.7743,22.3912,5.6461,60.5415,123.3,1.4479,0.4713,103.572
5,299.3918,0.8183,30.2654,6.0343,35.3044,312.36,1.4413,0.4036,118.368
5,130.5787,0.7262,17.2023,4.7769,62.6262,131.52,1.4874,0.4274,133.164
5,137.1355,0.7104,18.0361,3.7085,26.1889,73.98,1.5138,0.3585,121.656
5,58.1916,0.8002,12.4831,3.952,61.4555,106.86,1.4515,0.4656,88.776
5,114.1483,0.7097,19.4627,5.0199,60.5415,123.3,1.3861,0.4113,95.352
5,132.3646,0.8287,17.8191,3.2605,16.2015,41.1,1.6804,0.3322,88.776
5,243.4163,0.8473,30.9872,6.5114,57.8413,106.86,1.5795,0.3619,146.316
5,197.4556,0.707,24.2791,3.7377,11.7294,106.86,1.5225,0.3219,108.504
5,220.8694,0.865,24.9815,4.258,26.1889,73.98,1.5824,0.4382,110.148
5,169.9726,0.737,20.7193,5.6945,61.4555,106.86,1.6769,0.4339,105.216
5,217.614,0.7231,20.9532,2.8337,11.7294,106.86,1.5736,0.3199,103.572
5,186.403,0.6997,24.5181,5.1776,61.4555,106.86,1.4663,0.364,143.028
5,196.6975,0.7259,21.2663,3.2496,16.2015,41.1,1.5208,0.3477,106.86
5,203.1545,0.9631,21.9583,3.348,16.2015,41.1,1.4299,0.3411,110.148
5,127.3047,0.8019,18.5286,5.2114,57.8413,106.86,1.6416,0.2882,87.132
5,126.8493,0.7409,15.5551,2.9407,6.8019,82.2,1.5829,0.3364,69.048
5,62.512,1.0123,11.2134,2.5186,11.7294,106.86,1.4729,0.4932,128.232
5,208.996,0.9054,27.1327,6.7241,62.6262,131.52,1.5093,0.3825,111.792
5,213.9998,0.8017,28.4473,6.5856,60.5415,123.3,1.4628,0.4614,103.572
5,160.2879,0.8861,20.4533,5.5988,60.5415,123.3,1.4538,0.3474,82.2
5,246.5662,0.5319,30.557,6.6233,57.8413,106.86,1.4502,0.327,106.86
5,196.0776,0.6132,23.6761,5.3932,57.8413,106.86,1.4578,0.2362,131.52
5,173.4166,0.9043,21.0311,5.0198,62.6262,131.52,1.4615,0.3506,87.132
5,149.4149,0.9003,17.3713,4.9555,62.6262,131.52,1.3563,0.4197,101.928
5,160.8671,0.7458,16.8344,4.5123,35.3044,312.36,1.5146,0.2801,134.808
5,198.0208,0.762,20.5317,3.1924,26.1889,73.98,1.6395,0.4343,189.06
5,245.6522,0.9133,19.8327,2.7345,16.2015,41.1,1.5781,0.4954,110.148
5,231.3442,0.7361,23.5162,2.7584,16.2015,41.1,1.5681,0.2799,138.096
5,187.2749,0.5108,19.5742,3.1156,11.7294,106.86,1.6022,0.3672,101.928
5,207.8933,0.7845,20.4649,4.3612,61.4555,106.86,1.6499,0.4095,182.484
5,282.5538,0.733,35.2225,6.7165,57.8413,106.86,1.4968,0.2892,161.112
5,197.3044,0.6253,21.0321,3.3499,16.2015,41.1,1.4847,0.3297,146.316
5,232.571,0.6944,29.405,6.4554,57.8413,106.86,1.6365,0.2826,152.892
5,77.1232,0.6969,11.7082,3.2443,35.3044,312.36,1.6259,0.4234,69.048
5,214.6388,0.7925,20.3109,5.335,62.6262,131.52,1.3775,0.3318,103.572
5,174.4547,0.6551,21.2112,5.1359,60.5415,123.3,1.5582,0.3473,169.332
5,163.742,0.759,15.5577,4.636,60.5415,123.3,1.4922,0.435,98.64
5,277.7689,0.8867,31.9657,6.7546,60.5415,123.3,1.575,0.4355,156.18
5,146.2363,0.6817,17.3937,4.4846,35.3044,312.36,1.5845,0.3489,67.404
5,180.3048,0.6249,18.6048,3.5579,26.1889,73.98,1.4514,0.462,133.164
5,202.4929,0.7591,25.2279,5.6095,60.5415,123.3,1.4942,0.3092,175.908
5,191.4629,0.779,19.2251,2.7421,16.2015,41.1,1.475,0.4393,144.672
5,215.4967,0.9101,20.6301,3.0841,6.8019,82.2,1.45,0.4711,90.42
5,214.9138,0.7778,23.2997,5.9761,60.5415,123.3,1.5609,0.3662,100.284
5,234.3008,0.8433,21.6363,2.9814,16.2015,41.1,1.5699,0.3641,98.64
5,207.6266,0.8158,22.9212,3.8681,11.7294,106.86,1.6601,0.3095,96.996
5,163.103,0.8799,19.4178,3.0382,6.8019,82.2,1.6106,0.4585,98.64
5,232.2582,0.7128,28.5018,5.6175,57.8413,106.86,1.5184,0.428,134.808
5,258.9788,0.6854,30.3926,6.6323,60.5415,123.3,1.434,0.3146,120.012
5,179.0881,0.63,23.0569,3.5995,16.2015,41.1,1.7286,0.3861,152.892
5,191.6055,1.0157,21.7712,5.7876,61.4555,106.86,1.4827,0.5069,144.672
5,228.1843,0.6889,25.2178,4.4781,26.1889,73.98,1.5317,0.4102,100.284
5,136.5526,0.7224,17.7141,3.2237,16.2015,41.1,1.4938,0.4032,131.52
5,127.7359,0.6888,15.8819,2.992,16.2015,41.1,1.4767,0.3253,129.876
5,139.1881,0.8427,16.3612,3.3289,26.1889,73.98,1.5555,0.3052,162.756
5,305.4495,0.8167,36.684,7.1654,62.6262,131.52,1.4125,0.3607,113.436
5,190.2922,0.8052,21.2099,4.9436,35.3044,312.36,1.5605,0.4576,139.74
