Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,6.4622,1.6886,26.1889,73.98
WithNew-1,1,1.4799,1.6048,26.1889,73.98
WithNew-2,1,1.6268,1.6019,26.1889,73.98
Existing-1,1,1.4175,1.4834,35.3044,312.36
WithNew-1,1,1.6792,1.5844,35.3044,312.36
WithNew-2,1,1.8531,1.5636,35.3044,312.36
Existing-1,1,1.1924,1.3207,26.1889,73.98
WithNew-1,1,1.6229,1.7198,26.1889,73.98
WithNew-2,1,1.629,1.6406,26.1889,73.98
Existing-1,1,0.7662,1.8458,11.7294,106.86
WithNew-2,1,0.8377,1.8136,11.7294,106.86
WithNew-1,1,0.9205,1.548,11.7294,106.86
Existing-1,1,0.7998,1.7834,16.2015,41.1
WithNew-2,1,1.0054,1.8056,16.2015,41.1
WithNew-1,1,1.1632,1.7125,16.2015,41.1
Existing-1,1,1.1436,1.7785,26.1889,73.98
WithNew-1,1,1.612,1.6117,26.1889,73.98
WithNew-2,1,1.6135,1.6156,26.1889,73.98
Existing-1,1,0.6703,1.7514,6.8019,82.2
WithNew-2,1,0.6808,1.8208,6.8019,82.2
WithNew-1,1,0.7483,1.7469,6.8019,82.2
Existing-1,1,2.2798,1.5875,60.5415,123.3
WithNew-2,1,3.1833,1.5299,60.5415,123.3
WithNew-1,1,3.1957,1.5211,60.5415,123.3
Existing-1,1,2.2032,1.5585,57.8413,106.86
WithNew-2,1,2.9348,1.6498,57.8413,106.86
WithNew-1,1,2.9387,1.6468,57.8413,106.86
Existing-1,1,1.2842,1.8292,26.1889,73.98
WithNew-1,1,1.618,1.7307,26.1889,73.98
WithNew-2,1,1.6232,1.7206,26.1889,73.98
Existing-1,1,2.3365,1.6075,57.8413,106.86
WithNew-1,1,3.1307,1.621,57.8413,106.86
WithNew-2,1,3.1446,1.6892,57.8413,106.86
Existing-1,1,0.5821,1.8748,6.8019,82.2
WithNew-1,1,0.7734,1.9083,6.8019,82.2
WithNew-2,1,0.8409,1.7627,6.8019,82.2
Existing-1,1,0.7601,1.6859,11.7294,106.86
WithNew-1,1,0.8514,1.8286,11.7294,106.86
WithNew-2,1,1.032,1.6709,11.7294,106.86
Existing-1,1,0.6586,1.8701,11.7294,106.86
WithNew-1,1,0.836,1.9473,11.7294,106.86
WithNew-2,1,0.9379,1.7968,11.7294,106.86
Existing-1,1,2.1856,1.5607,57.8413,106.86
WithNew-2,1,2.9206,1.5507,57.8413,106.86
WithNew-1,1,2.9341,1.5864,57.8413,106.86
Existing-1,1,0.7577,1.8981,11.7294,106.86
WithNew-1,1,0.7881,1.8314,11.7294,106.86
WithNew-2,1,0.9069,1.7229,11.7294,106.86
Existing-1,1,0.7079,1.7917,11.7294,106.86
WithNew-1,1,0.8262,1.9792,11.7294,106.86
WithNew-2,1,0.9631,1.7968,11.7294,106.86
Existing-1,1,2.2097,1.6293,57.8413,106.86
WithNew-1,1,2.7477,1.8052,57.8413,106.86
WithNew-2,1,3.0849,1.6079,57.8413,106.86
Existing-1,1,1.2837,1.8457,26.1889,73.98
WithNew-2,1,1.434,1.7153,26.1889,73.98
WithNew-1,1,1.6102,1.6209,26.1889,73.98
Existing-1,1,2.2161,1.6535,57.8413,106.86
WithNew-2,1,2.8498,1.6134,57.8413,106.86
WithNew-1,1,3.1418,1.6147,57.8413,106.86
Existing-1,1,2.2705,1.6402,61.4555,106.86
WithNew-1,1,3.2027,1.7678,61.4555,106.86
WithNew-2,1,3.2119,1.7345,61.4555,106.86
Existing-1,1,0.8054,1.9464,11.7294,106.86
WithNew-2,1,0.8961,1.684,11.7294,106.86
WithNew-1,1,0.944,1.6428,11.7294,106.86
Existing-1,1,0.6585,1.8021,11.7294,106.86
WithNew-2,1,0.9461,1.7241,11.7294,106.86
WithNew-1,1,0.9476,1.725,11.7294,106.86
Existing-1,1,1.3874,1.6188,35.3044,312.36
WithNew-1,1,1.7675,1.5837,35.3044,312.36
WithNew-2,1,1.8319,1.5938,35.3044,312.36
Existing-1,1,0.7607,1.7635,11.7294,106.86
WithNew-1,1,0.8603,1.8708,11.7294,106.86
WithNew-2,1,0.959,1.6584,11.7294,106.86
Existing-1,1,2.4294,1.6073,62.6262,131.52
WithNew-2,1,3.2973,1.5701,62.6262,131.52
WithNew-1,1,3.3081,1.603,62.6262,131.52
Existing-1,1,0.8119,1.8363,16.2015,41.1
WithNew-2,1,1.031,1.7862,16.2015,41.1
WithNew-1,1,1.1969,1.6793,16.2015,41.1
Existing-1,1,0.7589,1.8178,11.7294,106.86
WithNew-1,1,0.8133,1.9134,11.7294,106.86
WithNew-2,1,0.9284,1.6535,11.7294,106.86
Existing-1,1,2.4119,1.7085,62.6262,131.52
WithNew-2,1,3.3194,1.6057,62.6262,131.52
WithNew-1,1,3.3292,1.6334,62.6262,131.52
Existing-1,1,1.3831,1.7374,35.3044,312.36
WithNew-1,1,1.7556,1.7529,35.3044,312.36
WithNew-2,1,1.8524,1.7535,35.3044,312.36
Existing-1,1,1.2565,1.6197,26.1889,73.98
WithNew-2,1,1.5691,1.7198,26.1889,73.98
WithNew-1,1,1.5698,1.7198,26.1889,73.98
Existing-1,1,2.1794,1.5712,61.4555,106.86
WithNew-2,1,2.9308,1.6948,61.4555,106.86
WithNew-1,1,3.0353,1.7953,61.4555,106.86
Existing-1,1,0.8548,1.8852,16.2015,41.1
WithNew-2,1,0.9857,1.7657,16.2015,41.1
WithNew-1,1,1.1636,1.7131,16.2015,41.1
Existing-1,1,0.9055,1.79,16.2015,41.1
WithNew-2,1,0.9674,2.0067,16.2015,41.1
WithNew-1,1,1.2077,1.8031,16.2015,41.1
Existing-1,1,2.2205,1.5197,57.8413,106.86
WithNew-1,1,2.7737,1.7951,57.8413,106.86
WithNew-2,1,2.9411,1.7491,57.8413,106.86
Existing-1,1,2.277,1.7375,62.6262,131.52
WithNew-2,1,3.0152,1.682,62.6262,131.52
WithNew-1,1,3.3092,1.5147,62.6262,131.52
Existing-1,1,2.3935,1.7622,60.5415,123.3
WithNew-1,1,3.0616,1.7318,60.5415,123.3
