Task ID,Task Number,Start Time (s),End Time (s),Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs),Concurrent Task Count
1-1,6,0.1602,3.2396,3.0794,1.4345,0.1273,8.22,
1-4,6,0.4752,3.3835,2.9084,1.4651,1.7153,16.44,
1-2,6,0.3076,3.4513,3.1438,1.4973,1.7153,16.44,
1-5,6,0.6134,3.563,2.9496,1.4665,2.2787,49.32,
1-7,6,0.8704,3.546,2.6756,1.4566,1.8506,24.66,
1-3,6,0.3243,3.6011,3.2768,1.5522,2.1256,41.1,
1-6,6,0.7407,3.6402,2.8995,1.3963,3.3407,90.42,
2-1,6,0.0569,1.9108,1.8539,2.0844,2.5653,65.76,
2-3,6,0.3362,2.5123,2.1762,1.6949,0.901,32.88,
2-2,6,0.2556,2.7593,2.5037,1.4161,3.3407,90.42,
2-5,6,0.5731,2.8211,2.248,1.4411,1.7153,16.44,
2-7,6,0.9761,2.8204,1.8443,1.441,1.3501,8.22,
2-6,6,0.7229,2.8729,2.1501,1.4833,1.7153,16.44,
2-4,6,0.4836,2.9604,2.4767,1.4776,2.8789,65.76,
3-2,6,0.1404,3.0646,2.9242,1.4177,0.1273,8.22,
3-3,6,0.2376,3.2414,3.0038,1.4667,1.4491,49.32,
3-7,6,0.717,3.3142,2.5972,1.4291,1.8506,24.66,
3-1,6,0.0679,3.3279,3.26,1.4859,1.9988,32.88,
3-5,6,0.3808,3.4669,3.0861,1.4409,2.8789,65.76,
3-4,6,0.338,3.5927,3.2546,1.5079,3.3407,90.42,
3-6,6,0.4679,3.6047,3.1369,1.4894,3.3407,90.42,
4-4,6,0.3423,3.0151,2.6728,1.4857,1.3501,8.22,
4-2,6,0.1803,3.363,3.1827,1.351,0.901,32.88,
4-1,6,0.148,3.5641,3.4162,1.3426,3.3407,90.42,
4-7,6,0.9197,3.5713,2.6516,1.3299,2.2787,49.32,
4-3,6,0.3169,3.592,3.2751,1.3247,2.8789,65.76,
4-5,6,0.3878,3.6566,3.2688,1.3575,2.8789,65.76,
4-6,6,0.6291,3.7352,3.1061,1.4353,3.3407,90.42,
5-1,6,0.0633,1.8299,1.7666,1.5969,1.4491,49.32,
5-3,6,0.3069,2.6141,2.3073,1.3299,0.2835,16.44,
5-2,6,0.1354,2.6978,2.5624,1.3309,3.3407,90.42,
5-5,6,0.5781,2.7822,2.2042,1.322,1.3501,8.22,
5-4,6,0.4884,2.829,2.3406,1.3479,0.901,32.88,
5-6,6,0.7847,3.0816,2.297,1.4358,3.3407,90.42,
5-7,6,0.946,3.0825,2.1365,1.4358,3.3407,90.42,
6-6,6,0.7158,3.1342,2.4184,1.4141,0.2835,16.44,
6-4,6,0.3615,3.282,2.9204,1.4217,0.901,32.88,
6-2,6,0.1518,3.2856,3.1337,1.45,0.901,32.88,
6-7,6,0.9779,3.3836,2.4057,1.5566,1.9988,32.88,
6-1,6,0.018,3.4416,3.4235,1.4872,2.2787,49.32,
6-5,6,0.5404,3.498,2.9576,1.4208,2.5653,65.76,
6-3,6,0.2638,3.5665,3.3027,1.4714,2.5653,65.76,
7-2,6,0.1303,2.8776,2.7473,1.4471,1.9988,32.88,
7-1,6,0.058,3.1805,3.1226,1.4638,1.9988,32.88,
7-6,6,0.6466,3.2955,2.6489,1.4631,2.2787,49.32,
7-4,6,0.3105,3.3041,2.9936,1.4458,1.4491,49.32,
7-7,6,0.9044,3.4429,2.5385,1.4912,3.3407,90.42,
7-5,6,0.4491,3.4794,3.0303,1.4654,3.3407,90.42,
7-3,6,0.1999,3.507,3.3071,1.4925,3.3407,90.42,
8-1,6,0.0602,2.7986,2.7384,1.3207,2.1256,41.1,
8-6,6,0.6425,2.8854,2.243,1.3468,0.2835,16.44,
8-3,6,0.3152,2.9053,2.5901,1.3426,1.7153,16.44,
8-4,6,0.3976,3.057,2.6594,1.3636,2.1256,41.1,
8-2,6,0.1888,3.0915,2.9028,1.407,2.2787,49.32,
8-5,6,0.5073,3.1847,2.6774,1.5059,3.3407,90.42,
8-7,6,0.7685,3.2718,2.5033,1.4927,3.3407,90.42,
9-2,6,0.1697,1.7054,1.5356,1.8636,0.2835,16.44,
9-1,6,0.1,1.8434,1.7434,1.8224,0.1273,8.22,
9-3,6,0.2493,2.517,2.2677,1.4565,1.7153,16.44,
9-6,6,0.6426,2.585,1.9424,1.5425,1.8506,24.66,
9-5,6,0.533,2.5876,2.0546,1.5438,1.7153,16.44,
9-7,6,0.7815,2.763,1.9815,1.5278,2.5653,65.76,
9-4,6,0.4381,2.7949,2.3568,1.4846,3.3407,90.42,
10-1,6,0.0452,1.4496,1.4044,1.8375,0.1273,8.22,
10-2,6,0.2399,2.3835,2.1436,1.572,1.7153,16.44,
10-4,6,0.4177,2.4524,2.0347,1.6001,0.1273,8.22,
10-3,6,0.3171,2.5669,2.2498,1.4265,1.7153,16.44,
10-6,6,0.6195,2.7006,2.0811,1.4115,1.7153,16.44,
10-5,6,0.509,2.8755,2.3665,1.4022,3.3407,90.42,
10-7,6,0.8904,2.8964,2.0061,1.4218,3.3407,90.42,
11-1,6,0.0512,2.7401,2.689,1.5179,0.2835,16.44,
11-4,6,0.5237,2.9577,2.434,1.3944,1.7153,16.44,
11-2,6,0.3542,3.0349,2.6807,1.4077,0.901,32.88,
11-6,6,0.7623,3.0977,2.3354,1.4631,1.8506,24.66,
11-7,6,1.0454,3.153,2.1076,1.4777,1.9988,32.88,
11-3,6,0.4333,3.2667,2.8334,1.4491,3.3407,90.42,
11-5,6,0.6346,3.2958,2.6613,1.437,3.3407,90.42,
12-7,6,0.7495,2.7373,1.9878,1.6595,0.1273,8.22,
12-1,6,0.0864,2.8775,2.7911,1.6108,0.2835,16.44,
12-6,6,0.6141,2.8722,2.2581,1.6109,1.3501,8.22,
12-4,6,0.4787,2.9276,2.4489,1.5421,0.2835,16.44,
12-3,6,0.3471,2.9273,2.5802,1.5668,1.8506,24.66,
12-2,6,0.247,3.057,2.8101,1.4771,2.1256,41.1,
12-5,6,0.587,3.1013,2.5144,1.5489,2.8789,65.76,
13-1,6,0.1272,2.1472,2.02,1.8148,0.1273,8.22,
13-6,6,0.6587,2.7732,2.1145,1.3978,0.2835,16.44,
13-3,6,0.3393,2.8427,2.5034,1.4342,2.1256,41.1,
13-4,6,0.4279,3.0854,2.6575,1.5253,2.5653,65.76,
13-7,6,0.9193,3.1146,2.1953,1.5665,2.8789,65.76,
13-2,6,0.2082,3.1298,2.9216,1.5276,2.8789,65.76,
13-5,6,0.5392,3.1517,2.6124,1.5057,3.3407,90.42,
14-5,6,0.5346,3.0684,2.5338,1.4468,0.2835,16.44,
14-6,6,0.6451,3.1205,2.4754,1.4376,1.9988,32.88,
14-3,6,0.1786,3.2108,3.0322,1.4088,1.4491,49.32,
14-2,6,0.0994,3.4426,3.3433,1.5507,3.3407,90.42,
14-7,6,0.9251,3.4786,2.5535,1.4535,2.8789,65.76,
14-1,6,0.0263,3.4918,3.4655,1.4187,3.3407,90.42,
14-4,6,0.3691,3.5536,3.1845,1.5068,3.3407,90.42,
15-3,6,0.2637,1.9635,1.6998,1.6933,2.2787,49.32,
15-6,6,0.5124,2.5932,2.0808,1.3921,1.3501,8.22,
15-1,6,0.1122,2.6627,2.5505,1.4094,0.901,32.88,
15-7,6,0.7227,2.6535,1.9308,1.4166,0.1273,8.22,
15-5,6,0.3685,2.7868,2.4183,1.531,1.9988,32.88,
15-2,6,0.1844,2.8989,2.7145,1.4261,2.5653,65.76,
15-4,6,0.2998,2.9685,2.6687,1.3678,3.3407,90.42,
16-3,6,0.3761,3.178,2.8019,1.4822,1.7153,16.44,
16-4,6,0.6584,3.2932,2.6348,1.5811,0.901,32.88,
16-7,6,0.9752,3.3529,2.3776,1.6355,1.8506,24.66,
16-2,6,0.2994,3.3257,3.0264,1.6592,1.7153,16.44,
16-1,6,0.1908,3.5147,3.3239,1.4622,2.2787,49.32,
16-6,6,0.7139,3.5848,2.8709,1.4075,2.5653,65.76,
16-5,6,0.6575,3.64,2.9826,1.3999,3.3407,90.42,
17-3,6,0.3239,2.8084,2.4845,1.6304,0.2835,16.44,
17-1,6,0.1187,2.8704,2.7517,1.5437,1.3501,8.22,
17-7,6,1.029,2.8854,1.8564,1.5632,0.901,32.88,
17-5,6,0.5509,2.8829,2.332,1.551,0.2835,16.44,
17-4,6,0.4558,2.9432,2.4874,1.504,0.1273,8.22,
17-2,6,0.2475,2.9555,2.7079,1.4695,1.9988,32.88,
17-6,6,0.6878,3.0352,2.3474,1.4482,2.2787,49.32,
18-1,6,0.1156,1.6815,1.5659,2.0155,0.1273,8.22,
18-3,6,0.4184,2.743,2.3246,1.3436,0.1273,8.22,
18-2,6,0.2938,2.9036,2.6098,1.4127,1.8506,24.66,
18-4,6,0.5598,3.0944,2.5347,1.3892,2.2787,49.32,
18-7,6,1.0071,3.1414,2.1343,1.4325,2.5653,65.76,
18-5,6,0.6845,3.165,2.4805,1.4606,1.4491,49.32,
18-6,6,0.7965,3.2669,2.4703,1.4637,3.3407,90.42,
19-2,6,0.3713,1.628,1.2567,1.9502,1.9988,32.88,
19-1,6,0.1705,1.851,1.6805,1.6353,3.3407,90.42,
19-4,6,0.6263,2.678,2.0518,1.5289,1.9988,32.88,
19-5,6,0.7675,2.6956,1.9281,1.5245,2.2787,49.32,
19-7,6,1.0328,2.7182,1.6854,1.5584,0.901,32.88,
19-6,6,0.7921,2.7341,1.942,1.5057,2.1256,41.1,
19-3,6,0.4401,2.7669,2.3268,1.5213,2.5653,65.76,
20-1,6,0.1718,2.6429,2.4711,1.5454,2.2787,49.32,
20-4,6,0.5195,2.7695,2.2501,1.5224,1.4491,49.32,
20-2,6,0.2769,2.7807,2.5038,1.4264,2.2787,49.32,
20-5,6,0.6703,2.8533,2.183,1.3653,1.8506,24.66,
20-6,6,0.6988,2.8749,2.1761,1.3849,1.4491,49.32,
20-3,6,0.387,2.9682,2.5811,1.4254,3.3407,90.42,
20-7,6,0.901,3.0388,2.1378,1.3457,3.3407,90.42,
21-1,6,0.0393,1.4049,1.3656,1.9262,1.7153,16.44,
21-2,6,0.2275,1.8971,1.6697,2.0502,1.3501,8.22,
21-3,6,0.4162,2.0326,1.6164,2.0128,0.1273,8.22,
21-4,6,0.497,2.1062,1.6092,1.6152,0.2835,16.44,
21-6,6,0.7753,2.1974,1.4221,1.4865,0.2835,16.44,
21-7,6,0.961,2.2122,1.2513,1.5443,1.7153,16.44,
21-5,6,0.5755,2.2304,1.6549,1.4959,0.901,32.88,
22-5,6,0.4695,3.0284,2.5589,1.3241,1.3501,8.22,
22-7,6,0.8754,3.2807,2.4053,1.4088,2.1256,41.1,
22-2,6,0.1328,3.3023,3.1695,1.4097,3.3407,90.42,
22-1,6,0.0631,3.3295,3.2664,1.454,1.4491,49.32,
22-6,6,0.6873,3.4116,2.7243,1.5216,2.5653,65.76,
22-3,6,0.1995,3.4493,3.2498,1.5999,2.8789,65.76,
22-4,6,0.2935,3.5542,3.2607,1.4772,3.3407,90.42,
23-1,6,0.19,2.0397,1.8496,1.7649,2.1256,41.1,
