Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.2914,1.9155,26.1889,73.98
WithNew-2,1,1.1624,1.851,16.2015,41.1
WithNew-1,1,1.6728,1.8458,26.1889,73.98
Existing-1,1,2.3075,1.6754,60.5415,123.3
WithNew-2,1,3.072,1.6495,60.5415,123.3
WithNew-1,1,3.0719,1.6495,60.5415,123.3
Existing-1,1,2.237,1.7626,57.8413,106.86
WithNew-2,1,1.0052,1.6541,6.8019,82.2
WithNew-1,1,2.4874,1.4763,57.8413,106.86
Existing-1,1,0.8856,1.9381,16.2015,41.1
WithNew-1,1,1.1142,1.9292,16.2015,41.1
WithNew-2,1,1.3799,1.8375,26.1889,73.98
Existing-1,1,2.2331,1.6308,62.6262,131.52
WithNew-2,1,3.0826,1.7324,62.6262,131.52
WithNew-1,1,3.0831,1.7324,62.6262,131.52
Existing-1,1,0.5419,2.0292,6.8019,82.2
WithNew-1,1,1.0326,1.7811,6.8019,82.2
WithNew-2,1,2.6753,1.6902,62.6262,131.52
Existing-1,1,2.1745,1.8452,57.8413,106.86
WithNew-1,1,2.6545,1.7317,57.8413,106.86
WithNew-2,1,2.9534,1.754,62.6262,131.52
Existing-1,1,2.1834,1.8934,60.5415,123.3
WithNew-2,1,3.0622,1.7238,61.4555,106.86
WithNew-1,1,3.059,1.723,60.5415,123.3
Existing-1,1,0.6486,1.9338,11.7294,106.86
WithNew-1,1,1.0938,1.9212,11.7294,106.86
WithNew-2,1,2.6483,1.702,60.5415,123.3
Existing-1,1,0.9026,1.9423,16.2015,41.1
WithNew-1,1,0.9568,1.7209,16.2015,41.1
WithNew-2,1,1.0139,1.6478,11.7294,106.86
