round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	7.4513	1.8799	7.4513	9.3225	2.0368	9.3225	7.9487	1.8985	7.9487
2	6.6507	1.7183	6.6507	13.7753	2.3571	13.7753	8.3067	1.8871	8.3067
3	6.0978	1.7062	6.0978	10.0479	2.2066	10.0479	7.5367	1.8426	7.5367
4	6.0824	1.6419	6.0824	8.8890	1.8623	8.8890	6.9216	1.7392	6.9216
5	5.7759	1.6441	5.7759	8.3585	2.0475	8.3585	6.8718	1.7545	6.8718
6	5.7019	1.5753	5.7019	9.6819	1.9062	9.6819	6.7084	1.6939	6.7084
7	5.2860	1.5815	5.2860	8.0658	1.9824	8.0658	6.5450	1.7085	6.5450
8	5.1077	1.4844	5.1077	9.9701	1.9693	9.9701	6.1647	1.6080	6.1647
9	4.7142	1.4903	4.7142	7.8999	2.0341	7.8999	6.1174	1.6188	6.1174
10	4.4592	1.3862	4.4592	6.5515	1.5823	6.5515	5.0549	1.4550	5.0549
11	4.2296	1.4435	4.2296	7.6580	2.1632	7.6580	5.3580	1.5336	5.3580
12	4.0699	1.3401	4.0699	6.2661	1.6218	6.2661	4.6915	1.4345	4.6915
13	3.8535	1.3916	3.8535	5.6581	1.6566	5.6581	4.2695	1.4005	4.2695
14	3.6368	1.2630	3.6368	5.8476	1.5513	5.8476	4.1594	1.3197	4.1594
15	3.2774	1.2690	3.2774	7.9186	2.2161	7.9186	4.6562	1.4313	4.6562
16	3.0758	1.1631	3.0758	5.3793	1.4434	5.3793	3.6995	1.2262	3.6995
17	2.7074	1.1079	2.7074	5.9643	1.4942	5.9643	3.5531	1.1832	3.5531
18	2.5002	1.0742	2.5002	4.3196	1.3764	4.3196	3.3091	1.1593	3.3091
19	2.0857	0.9866	2.0857	3.9803	1.2256	3.9803	2.7545	1.0642	2.7545
20	1.8509	0.9139	1.8509	4.2849	1.2712	4.2849	2.6558	1.0314	2.6558
21	1.9614	0.9364	1.9614	4.6178	1.5809	4.6178	2.6827	1.0418	2.6827
22	1.6532	0.8544	1.6532	4.0255	1.2096	4.0255	2.2654	0.9520	2.2654
23	1.6930	0.8766	1.6930	2.8707	1.1018	2.8707	2.1973	0.9567	2.1973
24	1.3444	0.7824	1.3444	5.8011	1.3966	5.8011	2.2201	0.9171	2.2201
25	1.2947	0.7773	1.2947	2.7086	0.9769	2.7086	1.8369	0.8736	1.8369
26	1.2360	0.7601	1.2360	2.5570	0.9788	2.5570	1.6951	0.8471	1.6951
27	1.1915	0.7317	1.1915	3.6811	1.0801	3.6811	1.7857	0.8448	1.7857
28	1.1905	0.7383	1.1905	4.0592	1.1863	4.0592	1.7849	0.8409	1.7849
29	1.0231	0.7025	1.0231	2.3210	1.0434	2.3210	1.4711	0.8014	1.4711
30	1.2383	0.7747	1.2383	3.2383	1.1814	3.2383	1.7484	0.8736	1.7484
31	1.0156	0.6898	1.0156	3.9384	1.1324	3.9384	1.5366	0.7816	1.5366
32	1.2476	0.7646	1.2476	2.4433	1.0240	2.4433	1.4561	0.8094	1.4561
33	1.0055	0.6871	1.0055	2.4271	0.9409	2.4271	1.2955	0.7492	1.2955
34	1.0579	0.7200	1.0579	5.1907	1.3010	5.1907	1.7132	0.8183	1.7132
35	0.9597	0.6756	0.9597	2.9542	1.0112	2.9542	1.3538	0.7539	1.3538
36	1.0366	0.6979	1.0366	2.2965	0.9188	2.2965	1.3949	0.7755	1.3949
37	0.9062	0.6539	0.9062	4.4282	1.1394	4.4282	1.5149	0.7735	1.5149
38	1.1155	0.7181	1.1155	3.8440	1.1077	3.8440	1.5772	0.8052	1.5772
39	0.8774	0.6487	0.8774	3.1771	1.0119	3.1771	1.2835	0.7258	1.2835
40	0.8936	0.6591	0.8936	1.9972	0.8619	1.9972	1.2709	0.7465	1.2709
41	0.8007	0.6234	0.8007	2.2336	1.0151	2.2336	1.2813	0.7428	1.2813
42	0.9751	0.6696	0.9751	2.9955	1.0135	2.9955	1.2849	0.7390	1.2849
43	0.8174	0.6272	0.8174	3.6081	1.0506	3.6081	1.2553	0.7132	1.2553
44	0.9177	0.6670	0.9177	3.6494	1.1104	3.6494	1.5223	0.8014	1.5223
45	0.7891	0.6168	0.7891	1.6403	0.8125	1.6403	1.0134	0.6764	1.0134
46	0.8359	0.6374	0.8359	3.2188	1.0996	3.2188	1.3655	0.7634	1.3655
47	0.7424	0.6012	0.7424	1.6357	0.7920	1.6357	1.0286	0.6731	1.0286
48	0.8283	0.6220	0.8283	2.4644	0.9254	2.4644	1.1473	0.7035	1.1473
49	0.7152	0.5936	0.7152	3.1358	1.0049	3.1358	1.2136	0.6879	1.2136
50	0.7439	0.6057	0.7439	5.2268	1.3301	5.2268	1.4484	0.7494	1.4484
51	0.7084	0.5948	0.7084	2.6313	0.9296	2.6313	1.0722	0.6759	1.0722
52	0.7251	0.6048	0.7251	3.4548	1.0423	3.4548	1.2506	0.7159	1.2506
53	0.7253	0.6007	0.7253	1.6863	0.7907	1.6863	1.0229	0.6674	1.0229
54	0.6682	0.5825	0.6682	2.7373	0.9700	2.7373	1.1106	0.6899	1.1106
55	0.7167	0.5895	0.7167	3.4329	1.0359	3.4329	1.1684	0.6886	1.1684
56	0.6410	0.5607	0.6410	7.7594	1.4744	7.7594	1.6691	0.7396	1.6691
57	0.6624	0.5710	0.6624	1.8850	0.8389	1.8850	0.9547	0.6463	0.9547
58	0.7291	0.5832	0.7291	2.7685	0.9781	2.7685	1.2215	0.7042	1.2215
59	0.7041	0.5843	0.7041	2.9718	1.1475	2.9718	1.3080	0.7309	1.3080
60	0.7725	0.6024	0.7725	3.4331	0.9971	3.4331	1.1816	0.6970	1.1816
61	0.7370	0.5903	0.7370	3.4557	1.0033	3.4557	1.1864	0.6685	1.1864
62	0.6463	0.5620	0.6463	3.2194	0.9582	3.2194	1.1099	0.6633	1.1099
63	0.6577	0.5751	0.6577	2.0392	0.8251	2.0392	0.9875	0.6486	0.9875
64	0.6579	0.5706	0.6579	8.0580	1.4823	8.0580	1.6379	0.7451	1.6379
65	0.6278	0.5616	0.6278	1.4976	0.7656	1.4976	0.9533	0.6476	0.9533
66	0.5742	0.5382	0.5742	4.4982	1.0798	4.4982	1.2960	0.6978	1.2960
67	0.6079	0.5470	0.6079	3.2295	1.0014	3.2295	1.1094	0.6731	1.1094
68	0.6631	0.5669	0.6631	3.5588	0.9914	3.5588	1.1515	0.6639	1.1515
69	0.6364	0.5485	0.6364	3.1810	0.9762	3.1810	1.1718	0.6955	1.1718
70	0.6589	0.5610	0.6589	4.0245	1.0031	4.0245	1.1307	0.6520	1.1307
71	0.5843	0.5400	0.5843	3.2343	0.9714	3.2343	1.1043	0.6747	1.1043
72	0.6058	0.5515	0.6058	4.0143	1.1156	4.0143	1.1518	0.6839	1.1518
73	0.7135	0.5854	0.7135	2.5711	0.9237	2.5711	1.1631	0.6942	1.1631
74	0.7491	0.5952	0.7491	6.1722	1.2688	6.1722	1.3309	0.6740	1.3309
